"Citigo Škoda 1.0 MPI Elegance",images/skoda.jpg,1463834182620,"Za ono zbog čega je stvoren, Citigo je odličan auto. Istinska indigo generacija! Optimalno opremljen, svidjeće se mladima, ali i njihovim roditeljima, ako im budžet omogućava dovoljno novca za posjedovanje barem dva automobila."
"Vozili smo novi KIA Sportage",images/kia.jpg,1463834082620,"Najvažniji model KIA-e i njihov uvjerljivo najprodavaniji model u Evropi dočekao je svoju četvrtu generaciju. Novi Sportage donosi brojne novosti i poboljšanja, a mi smo ga isprobali i provjerili da li je zaista bolji i napredniji."
"Macan Turbo četverocilindarski div",images/porsche.jpg,1463833182620,"Porsche je za njemačko tržište pripremio crossover model Macan koji će pokretati četverocilindarski dvolitarski turbo-benzinski motor. Manje cilindara u ovom slučaju ne znači i manje zabave."
"Alpha-N Performance tunirao Abarthove modele",images/alpha.jpg,1463832182620,"Poznati tuner Alpha-N Performance je poradio na nekoliko Abarthovih modela koji sada imaju više snage."
"MTM Volkswagen Amarok",images/amarok.jpg,1463831182620,"Na Sajmu automobila u Ženevi ugledna tunerska kuća MTM će predstaviti svoj novi Volkswagen Amarok V8 Desert Edition, a koji donosi pregršt ekskluzinvih novosti za ovaj veliki pick-up..."
"Mercedes-Benz CLS 350 BlueTEC",images/mercedes.jpg,1463830182620,"Mercedes je još 2004. godine iznenadio kupce luksuznih limuzina predstavivši model CLS. Bila je to prva coupe limuzina u ovom segmentu, a nakon što su svi ostali pokušali isprobati taj recept Mercedes je drugom generacijom..."
"Abarth predstavio trkaći 124 Spider",images/abarth.jpg,1463824182620,"Paralelno s predstavljanjem cestovne verzije Abarth je u Ženevi izložio i trkaću rally verziju modela 124 Spider koja je napravljena prema FIA specifikacijama koje važe za klasu R-GT."
"U Aston Martinu ne žele odustati od ručnih mjenjača",images/aston.jpg,1463814182620,"U čuvenoj britanskoj automobilskoj kompaniji Aston Martin kažu da žele biti posljednji proizvođač sportskih automobila koji će svojim kupcima nuditi ručne mjenjače."
"Koncepti Zenvo TS1 i TSR stigli u Ženevu",images/zenvo.jpg,1463734182620,"Kompanija Zenvo je iskoristila Sajam automobila u Ženevi da predstavi svoje koncepte TS1 i TSR."
"Lisabon: Vozili smo novu Mercedes-Benz E klasu",images/mercedes2.jpg,1463804182620,"Uske gradske ulice Lisabona i ceste u njegovoj okolici pokazale su se kao odlična lokacija za prve kilometre vožnje jubilarne desete generacije Mercedes-Benz E klase. Među prvima na svijetu smo isprobali zašto..."
"Istanbul: Vozili smo novi Porsche 911 Carrera i 911 Turbo",images/911.jpg,1463834162620,"Nakon svjetske premijere na sajmu u Frankfurtu, a nakon toga i domaće u Sarajevu pred sami kraj prošle godine, dobili smo priliku isprobali sve novosti koje je sa sobom donijela druga iteracija 991 generacije Porscheovog najslavnijeg..."
"Manhart pripremio Mini u maxi izdanju",images/mini.jpg,1463634182620,"Tuning kompanija Manhart Performance predstavila je Mini F300 s motorom koji za ovu priliku isporučuje 300 konjskih snaga."
